full_name	visibility	default_branch	criticality_tier
leesharks000/alexanarch	public	main	0
leesharks000/chatgptpsychosis-site	public	main	2
leesharks000/codesignal-practice	public	main	2
leesharks000/concordance-engine	public	main	2
leesharks000/crimson-hexagon	public	main	2
leesharks000/crimson-hexagonal-archive	public	main	0
leesharks000/crimson-hexagonal-interface	public	main	0
leesharks000/data-rhizome	private	main	0
leesharks000/encyclotron	public	main	2
leesharks000/evarb-co-signatures	public	main	1
leesharks000/godkinggoogle	public	main	1
leesharks000/gravitywell	public	main	0
leesharks000/holographic-kernel	public	main	1
leesharks000/laborvector	public	main	1
leesharks000/lagrange-observatory	public	main	1
leesharks000/lee-sharks-consulting	public	main	1
leesharks000/lee-sharks-corporate	public	main	1
leesharks000/leesharks.com	public	main	0
leesharks000/living-architecture-lab	public	main	1
leesharks000/machinemediation-org	public	main	0
leesharks000/mandala	private	main	2
leesharks000/mandala-oracle	public	main	2
leesharks000/maryleelabor-org	public	main	1
leesharks000/metadatapacket-dev	public	main	1
leesharks000/overview-watch	public	main	1
leesharks000/pessoa-knowledge-graph	public	main	1
leesharks000/platform-erosion-observatory	public	main	0
leesharks000/provenance-erasure	public	main	2
leesharks000/restoredacademy	public	main	1
leesharks000/revelationfirst-com	public	main	1
leesharks000/secret-book-of-walt	public	main	1
leesharks000/semantic-economy	public	main	0
leesharks000/semanticphysics-site	public	main	1
leesharks000/spxi-dev	public	main	1
leesharks000/spxi-protocol	public	main	1
leesharks000/surface-map	public	main	1
leesharks000/survivethedeletion	public	main	2
leesharks000/the-mandala-oracle	public	main	0
leesharks000/traininglayerliterature-org	public	main	1
leesharks000/vpcor-org	public	main	1
leesharks000/watergiraffe-org	public	main	1
