set,node,pages,links,self_host_share,in_set_share,external_share,in_set_out_degree,in_set_in_degree,reciprocity
fleet,godkinggoogle.com,13,358,0.514,0.425,0.061,29,25,1.0
fleet,crimsonhexagonal.org,13,450,0.593,0.38,0.027,13,23,0.522
fleet,laborvector.org,2,186,0.011,0.828,0.161,29,23,1.0
fleet,operativesemiotics.org,13,466,0.32,0.639,0.041,29,22,1.0
fleet,semanticphysics.org,13,1642,0.028,0.945,0.027,29,24,1.0
fleet,machinemediation.org,13,458,0.487,0.36,0.153,29,25,1.0
fleet,provenanceerasure.org,9,421,0.128,0.808,0.064,29,24,1.0
fleet,revelationfirst.com,13,421,0.466,0.456,0.078,29,25,1.0
fleet,metadatapacket.dev,5,301,0.12,0.774,0.106,25,24,0.875
fleet,watergiraffe.org,13,415,0.436,0.439,0.125,29,24,1.0
fleet,surfacemap.org,4,167,0.06,0.826,0.114,29,24,1.0
fleet,leesharks.com,13,627,0.354,0.383,0.263,29,24,1.0
fleet,lagrangeobservatory.org,7,377,0.069,0.854,0.077,29,24,1.0
fleet,quietexclusion.org,1,11,1.0,0.0,0.0,0,24,0.0
fleet,secretbookofwalt.org,8,416,0.019,0.788,0.192,29,23,1.0
fleet,livingarchitecturelab.org,13,437,0.492,0.032,0.476,2,24,0.083
fleet,spxi.dev,13,553,0.401,0.505,0.094,29,25,1.0
fleet,vpcor.org,13,616,0.299,0.622,0.08,29,25,1.0
fleet,restoredacademy.org,1,126,0.333,0.603,0.063,29,23,1.0
fleet,pessoagraph.org,2,108,0.037,0.796,0.167,29,23,1.0
fleet,alexanarch.org,13,414,0.686,0.208,0.106,29,27,1.0
fleet,semanticeconomy.org,13,324,0.278,0.531,0.191,29,23,1.0
fleet,persistentidentifiers.org,5,241,0.112,0.722,0.166,29,24,1.0
fleet,chatgptpsychosis.org,5,250,0.048,0.86,0.092,29,25,1.0
fleet,maryleelabor.org,13,597,0.551,0.357,0.092,29,24,1.0
fleet,axnidentifiers.org,10,321,0.389,0.604,0.006,15,24,0.542
fleet,themandalaoracle.com,3,24,0.292,0.333,0.375,1,24,0.042
fleet,traininglayerliterature.org,13,1017,0.127,0.846,0.028,29,25,1.0
fleet,holographickernel.org,4,247,0.049,0.862,0.089,29,24,1.0
admitted,wikipedia,7,3605,0.922,0.019,0.059,5,0,
admitted,facebook,1,13,1.0,0.0,0.0,0,1,0.0
admitted,arxiv,5,994,0.906,0.015,0.078,4,1,0.0
admitted,youtube,11,631,0.911,0.025,0.063,1,4,0.0
admitted,semanticscholar,1,30,1.0,0.0,0.0,0,2,0.0
admitted,sciencedirect,11,112,0.982,0.0,0.018,0,0,
admitted,linkedin,1,158,1.0,0.0,0.0,0,0,
admitted,forbes,3,1317,0.998,0.001,0.002,1,1,0.0
admitted,github,5,1787,0.984,0.0,0.016,0,2,0.0
admitted,medium,3,94,0.968,0.021,0.011,1,0,
