Ὠδαί 1:1	AΣΩΜΕΝ τῷ κυρίῳ, ἐνδόξως γὰρ δεδόξασται XV, ἵππον καὶ ἀναβάτην ἔρριψεν εἰς θάλασσαν. 1—19
Ὠδαί 1:2	βοηθὸς καὶ σκεπαστὴς ἐγένετό μοι εἰς σωτηρίαν· οὗτος θεός μου, καὶ δοξάσω αὐτόν, θεὸς τοῦ πατρός μου, καὶ ὑψώσω αὐτόν.
Ὠδαί 1:3	Κύριος συντρίβων πολέμους, Κύριος ὄνομα αὐτῷ.
Ὠδαί 1:4	ἄρματα Φαραὼ καὶ τὴν δύναμιν αὐτοῦ ἔρριψεν εἰς θάλασσαν· ἐπιλέκτους ἀναβάτας τριστάτας κατεπόντισεν ἐν ἐρυθρᾷ θαλάσσῃ,
Ὠδαί 1:5	πόντῳ ἐκάλυψεν αὐτούς· κατέδυσαν εἰς βυθὸν ὡσεὶ λίθος.
Ὠδαί 1:6	ἡ δεξιά σου, Κύριε, δεδόξασται ἐν ἰσχύι ἡ δεξιά σου χείρ. Κύριε, ἔθραυσεν ἐχθρούς
Ὠδαί 1:7	καὶ τῷ πλήθει τῆς δόξης σου συνέτριψας τοὺς ὑπεναντίους· ἀπέστειλας τὴν ὀργήν σου, καὶ κατέφαγεν αὐτοὺς ὡς καλάμην.
Ὠδαί 1:8	καὶ διὰ πνεύματος τοῦ θυμοῦ σου διέστη τὸ ὕδωρ ἐπάγη ὡσεὶ τεῖχος τὰ ὕδατα, ἐπάγη τὰ κύματα ἐν μέσῳ τῆς θαλάσσης
Ὠδαί 1:9	εἶπεν ὁ ἐχθρός Διώξας καταλήμψομαι· I deest tit in R 1 εριψεν R: item 4 2 εγενετο] εγενηθη R R ουτος θεος μου] μου θεος R 5 εις] ως RBᵛⁱᵈ ωσει] ως R 7 τω πληθει] το πληθος R της δοξης] om της spatio 2 vel 3 lilt interiecto R επεστειλας R ως] ωσει R 8 ωσει] ως R 9 καταλημψ ] + αυτους R A μεριῶ σκῦλα, ἐμπλήσω ψυχὴν μου. ἀνελῶ τῇ μαχαίρῃ μου, κυριεύσει ἡ χείρ μου.
Ὠδαί 1:10	ἀπέστειλας τὸ πνεῦμά σου, καὶ ἐκάλυψεν αὐτοὺς θάλασσα· ἔδυσαν ὡσεὶ μόλιβος ἐν ὔδατι σφοδρῷ.
Ὠδαί 1:11	τίς ὅμοιός σοι ἐν θεοῖς, Κύριε; τίς ὅμοιός σοι; δεδοξασμένος ἐν ἁγίοις, θαυμαστὸς ἐν δόξαις, ποιῶν τέρατα.
Ὠδαί 1:12	ἐξέτεινας τὴν δεξιάν σου, καὶ κατέπιεν αὐτοὺς ἡ γῆ.
Ὠδαί 1:13	λδήγησας τῇ δικαιοσύνῃ σου τὸν λαόν σου τοῦτον ὃν ἐλυτρώσω, παρεκάλεσας τῇ ἰσχύι σου εἰς κατάλυμα ἅγιόν σου.
Ὠδαί 1:14	ἥκουσαν ἔθνη καὶ ἐφοβήθησαν· ἐδῖνες ἔλαβον κατοικοῦντας Φυλιστιείμ.
Ὠδαί 1:15	τότε ἔσπευσαν ἡγεμόνες Ἐδὼμ καὶ ἄρχοντες ἔλαβεν αὐτοὺς τρόμος. ἐτάκησαν πάντες οἱ κατοικοῦντες Χανάαν.
Ὠδαί 1:16	ἐπιπέσοι ἐπʼ αὐτοὺς φόβος καὶ τρόμος· μεγέθει βραχίονός σου ἀπολιθωθήτωσαν· ἕως ἂν παρέλθῃ ὁ λαός σου, Κύριε, ἕως ἂν παρέλθῃ ὁ λαός σου οὗτος ὃν ἐκτήσω.
Ὠδαί 1:17	εἰσαγαγὼν καταφύτευσον αὐτοὺς εἰς ὄρος κληρονομίας σου, εἰς ἕτοιμον κατοικητήριόν σου ὃ κατειργάσω, ἁγίασμα, κύριε, ὁ ἡτοίμασαν αἱ χεῖρές σου,
Ὠδαί 1:18	Κύριε, βασιλεύων τὸν αἰῶνα καὶ ἐπʼ αἰῶνα καὶ ἔτι.
Ὠδαί 1:19	ὅτι εἰσῆλθεν ἵππος Φαραὼ σὺν ἄρμασιν καὶ ἀναβάταις αὐτοῦ εἰς θάλασσαν, καὶ ἐπήγαγεν ἐπʼ αὐτοὺς Κύριος τὸ ὕδωρ τῆς θαλάσσης· οἱ δὲ υἱοὶ Ἰσραὴλ ἐπορεύθησαν διὰ ξηρᾶς ἐν μέσῳ τῆς θαλασσης. R 10 om και R μολυβος Rᵛⁱᵈ 12 ξιαν pro δεξ. R 13 καταλιμμα R 14 εφοβηθησαν] ωργισθησαν R κατοικουντας] οι κατοικουντες R Φι. λιστιμ Rᵛⁱᵈ 16 επιπεσοι R αν 1⁰] ου R παρελθοι (1⁰) Rᵛᵈ om σου Κυριε.. ο λαος σου (sed spatio interiecto) R ha) R 17 κατειρ- γασω] κατηρτισω R + Κυριε R 18 βασιλευων] pr ο R τον αιωνα] pr εις R 19 om αυτου R θαλασσαν] + ερυθραν R θαλασσης 2⁰] (20) λα- βουσα δε η Μαρια η προφητις η αδελφη Aαρων το τυμπανον εν τη χειρὶ αυττης και εισηλθοσαν πασαι αι γιναικες οπισω αυτης μετα τυμπανων και χορων (21) εξηρχεν δε ουτων Μαριαμ λεγουσα ασωμεν τω κυριω ενδοξως γαρ δεδοξασται ιππον και αναβατην εριψ εν εις θαλασσαν R Β΄ ᾨδὴ Μωυσέως ἐν τῷ Δευτερονομίῳ. A Deut.
Ὠδαί 2:1	Πρόσεχε, οὐρανέ, καὶ λαλήσω· xxxii. καὶ ἀκουέτω γῆ ῥήματα ἐκ στόματός μου. 1—43
Ὠδαί 2:2	προσδοκάσθω ὡς ὑετὸς τὸ ἀπόφθεγμά μου. καὶ καταβήτω ὡς δρόσος τὰ ῥήματά μου· ὡσεὶ ὄμβρος ἐπʼ ἄγρωστιν, καὶ ὡσεὶ νιφετὸς ἐπὶ χόρτον.
Ὠδαί 2:3	ὅτι ὄνομα Κυρίου ἐκάλεσα· δότε μεγαλωσύνην τῷ θεῷ ἡμῶν.
Ὠδαί 2:4	θεός, ἀληθινὰ τὰ ἔργα αὐτοῦ, καὶ πᾶσαι αἱ ὁδοὶ αὐτοῦ κρίσις· θεὸς πιστός, καὶ οὐκ ἔστιν ἀδικία· δίκαιος καὶ ὅσιος Κύριος.
