Σουζάννα_(translatio_Graeca) 1:1	ΚΑΙ ἦν ἀνὴρ οἰκῶν ἐν Βαβυλῶνι, καὶ ὄνομα αὐτῷ Ἰωακείμ.
Σουζάννα_(translatio_Graeca) 1:2	καὶ ἔλαβε γυναῖκα ᾖ ὄνομα Σουσάννα, θυγάτηρ Χελκίου, καλὴ σφόδρα καὶ φοβουμένη τὸν κύριον·
Σουζάννα_(translatio_Graeca) 1:3	καὶ οἱ γονεῖς αὐτῆς δίκαιοι, καὶ ἐδίδαξαν τὴν θυγατέρα αὐτῶν κατὰ τὸν νόμον Μωυσῆ.
Σουζάννα_(translatio_Graeca) 1:4	καὶ ἦν Ἰωακεὶμ πλούσιος σφόδρα, καὶ ἦν αὐτῷ παράδεισος γειτνιῶν τῷ οἴκῳ αὐτοῦ· καὶ πρὸς αὐτὸν προσήγοντο οἱ Ἰουδαῖοι διὰ τὸ εἶναι αὐτὸν ἐνδοξότερον πάντων.
Σουζάννα_(translatio_Graeca) 1:5	Καὶ ἀπεδείχθησαν δύο πρεσβύτεροι ἐκ τοῦ λαοῦ κριταὶ ἐν τῷ ἐνιαυτῷ ἐκείνῳ, περὶ ὧν ἐλάλησεν ὁ δεσπότης ὅτι ἐξῆλθεν ἀνομία ἐκ Βαβυλῶνος ἐκ πρεσβυτέρων κριτῶν οἱ ἐδόκουν κυβερνῶν τὸν λαόν.
Σουζάννα_(translatio_Graeca) 1:6	καὶ ἤρχοντο κρίσεις ἐξ ἄλλων πόλεων πρὸς αὐτοὺς.
Σουζάννα_(translatio_Graeca) 1:7	οὗτοι ἰδόντες γυναῖκα ἀστείαν τῷ εἴδει, γυναῖκα ἀδελφοῦ αὐτῶν ἐκ τῶν υἱῶν Ἰσραήλ, ὄνομα Σουσάνναν, θυγατέρα Χελκίου, γυναῖκα Ἰωακείμ, περιπατοῦσαν ἐν τῷ παραδείσῳ τοῦ ἀνδρὸς αὐτῆς τὸ δειλινὸν
Σουζάννα_(translatio_Graeca) 1:8	καὶ ἐπιθυμήσαντες αὐτῆς,
Σουζάννα_(translatio_Graeca) 1:9	διέστρεψαν τὸν νοῦν αὐτῶν καὶ ἐξέκλιναν τοὺς ὀφθαλμοὺς αὐτῶν τοῦ μὴ βλέπειν εἰς τὸν οὐρανὸν μηδέ μνημονεύειν κριμάτων δικαίων.
Σουζάννα_(translatio_Graeca) 1:10	καὶ ἀμφότεροι ἦσαν κατανενυγμένοι περὶ αὐτῆς, καὶ ἕτερος τῷ ἑτέρῳ οὐ προσεποιεῖτο τὸ κακὸν τὸ ἔχον αὐτοὺς περὶ αὐτῆς, οὐδέ ἡ γυνὴ ἔγνω τὸ πρᾶγμα τοῦτο.
Σουζάννα_(translatio_Graeca) 1:12	καὶ ὡς ἐγίνετο ὄρθρος, ἐρχόμενοι ἔκλεπτον ἀλλήλους σπεύδοντες, τίς φανήσεται αὐτῇ πρότερος καὶ λαλήσει πρὸς αὐτήν.
Σουζάννα_(translatio_Graeca) 1:13	καὶ ἰδοὺ αὕτη κατὰ τὸ εἰωθὸς περιεπάτει, καὶ ὁ εἶς Syr Ιnscr Σουσαννα 87 (sub α΄σ΄θ΄) Syr 1—5 και ην ανηρ. ενιαυτω εκεινω] sub lemniscis omnia in 87 et (cum σ΄θ΄) Syr 4 και προς αυτον] adnot ουτοι προσεκαρτερουν εν τη οικια Ιωακειμ και ηρχοντο προς αυτους παντες 87mg οι Ιουδ.] incep. Ιο 87* (οι Ιουδ. 87¹) ras aliq ante ειναι 87? 5 και απεδειχθ.] pr ÷ 87 Ο ΛΕϹΠΟΤΗϹ Syrᵐᵍ 7 ΑϹΤΕΙΑΝ Syrᵐg ονομα bis scr 87* (improb 1⁰ 87? ) 8 9 επιθυμησαντες αυτης διεστρεψαν] επεθυμησαν αυτης διαστρεψ αντες Syr 10 προσεποιουντο Syr 87 τῶν πρεσβυτέρων ἐληλύθει, καὶ ἰδοὺ ὁ ἕτερος παρεγένετο, καὶ εἶς τὸν ἕτερον ἀνέκρινε λέγων Τί σὺ οὕτως ὄρθρου ἐξῆλθες οὐ παραλαβὼν με;
