Βὴλ_καὶ_Δράκων 1:1	Ἐκ προφητείας Ἀμβακοὐμ υἱοῦ Ἰησοῦ, ἐκ τῆς φυλῆς Δευί.
Βὴλ_καὶ_Δράκων 1:2	Ἄνθρωπός τις ἧν ἱερεύς, ᾧ ὄνομα Δανιὴλ, υἱὸς Ἁβάλ, συμβιωτὴς τοῦ βασιλέως Βαβυλῶνος.
Βὴλ_καὶ_Δράκων 1:3	καὶ ἧν εἴδωλον, Βήλ, ὃ ἐσέβοντο οἱ Βαβυλώνιοι· ἀνηλίσκετο δὲ αὐτῷ καθʼ ἑκάστην ἡμέραν σεμιδάλεως ἀρτάβαι δέκα δύο καὶ πρόβατα τέσσαρα καὶ ἐλαίου μετρηταὶ ἔξ.
Βὴλ_καὶ_Δράκων 1:4	καὶ ὃ βασιλεὺς ἐσέβετο αὐτόν, καὶ ἐπορεύετο ὁ βασιλεὺς καθʼ ἑκάστην ἡμέραν καὶ προσεκύνει αὐτῷ, Δανιὴλ δὲ προσηύχετο πρὸς Κύριον· καὶ εἶπεν ὁ βασιλεὺς τῷ Δανιὴλ Διὰ τί οὐ προσκυνεῖς τῷ Βήλ;
Βὴλ_καὶ_Δράκων 1:5	καὶ εἶπε Δανιὴλ πρὸς τὸν βασιλέα Οὐδένα σέβομαι ἐγὼ εἰ μὴ Κύριον τὸν θεὸν τὸν κτίσαντα τὸν οὐρανὸν καὶ τὴν γῆν καὶ ἔχοντα πάσης σαρκὸς κυρείαν.
Βὴλ_καὶ_Δράκων 1:6	εἶπεν δὲ ὁ βασιλεὺς αὐτῷ Οὗτος οὗν οὐκ ἔστι θεός; οὐχ ὁρᾷς ὅσα εἰς αὐτὸν δαπανᾶται καθʼ ἑκάστην ἡμέραν
Βὴλ_καὶ_Δράκων 1:7	καὶ εἶπεν αὐτῷ Δανιὴλ Μηδαμῶς, μηδείς σε παραλογιζέσθω· οὗτος γὰρ ἔσωθεν μέν πήλινός ἐστιν, ἔξωθεν δέ χαλκοῦς· ὀμνύω δέ σοι Κύριον τὸν θεὸν τῶν θεῶν, ὅτι οὐθὲν βέβρωκε πώποτε οὗτος.
Βὴλ_καὶ_Δράκων 1:8	καὶ θυμωθεὶς ὁ βασιλεὺς ἐκάλεσε τοὺς προεστηκότας τοῦ ἱεροῦ καὶ εἶπεν αὐτοῖς Παραδείξατε τὸν ἐσθίοντα τὰ παρασκευαζόμενα τῷ Βήλ· εἰ δὲ μή γε, ἀποθανεῖσθε,
Βὴλ_καὶ_Δράκων 1:9	ἢ Δανιὴλ ὁ φάσκων μὴ ἐσθίεσθαι αὐτὰ ὑπʼ αὐτοῦ. οἱ δὲ εἶπαν Αὐτὸς ὁ Βήλ ἐστιν ὁ κατεσθίων αὐτά· εἶπε δὲ Δανιὴλ πρὸς τὸν βασιλέα Γινέσθω οὕτως· ἐὰν μὴ παραδείξω sὅτι οὐκ ἔστιν ὁ Βὴλ ὁ κατεσθίων ταῦτα, ἀποθανοῦμαι καὶ πάντες οἱ παρʼ ἐμοῦ.
Βὴλ_καὶ_Δράκων 1:10	ἦσαν δέ τῷ Βὴλ ἱερεῖς ἑβδομήκοντα χωρὶς Syr Inscr Bηλ Syr (deest in 87) Tit Αμβακουμ] Ἁβακουκ Syr: item 33 Sqq 3 αΗλΙCΚεΤο Syrmg τεσσαρα] τεσσαρακοντα Syrᵐᵍ και ελαιου] και οινου Syrmg μετρητας 87 6 ουτος] ουτως 87* (-τος 87a) 7 ÷ ομννω. .των θεων Syr 8 παραδειξειτε 87eᵈ 9 εμου] εμοι 87a (superscr οι) 87 γυναικῶν καὶ τέκνων. ἤγαγον δὲ τὸν βασιλέα εἰς τὸ εἰδώλιον·
Βὴλ_καὶ_Δράκων 1:11	καὶ παρετέθη τὰ βρώματα ἐνώπιον τοῦ βασιλέως καὶ τοῦ Δανιὴλ, καὶ οἶνος κερασθεὶς εἰσηνέχθη καὶ παρετέθη τῷ Βήλ. καὶ εἶπεν Δανιὴλ Σὺ αὐτὸς ὁρᾶς ὅτι κεῖται ταῦτα, βασιλεῦ· σὺ οὗν ἐπισφράγισαι τὰς κλεῖδας τοῦ ναοῦ, ἐπὰν κλεισθῇ. ἤρεσεν δὲ ὁ λόγος τῷ βασιλεῖ
Βὴλ_καὶ_Δράκων 1:14	ὁ δὲ Δανιὴλ ἐκέλευσε τοὺς παρʼ αὐτοῦ ἐκβαλόντας πάντας ἐκ τοῦ ναοῦ κατασῆσαι ὅλον τὸν ναὸν σποδῷ, οὐθενὸς τῶν ἐκτὸς αὐτοῦ εἰδότος. καὶ τότε σφραγισάμενος τὸν ναὸν ἐκέλευσε σφραγίσαι τῷ τοῦ βασιλέως δακτυλίῳ καὶ τοῖς δακτυλίοις τινῶν ἐνδόξων ἱερέων· καὶ ἐγένετο οὕτως.
Βὴλ_καὶ_Δράκων 1:15	—17 καὶ ἐγένετο τῇ ἐπαύριον παρεγένοντο ἐπὶ τὸν τόπον· οἱ δὲ ἱερεῖς τοῦ Βὴλ διὰ ψευδοθυρίδων εἰσελθόντες κατεφάγοσαν πάντα τὰ παρακείμενα τῷ Βὴλ καὶ ἐξέπιον τὸν οἶνον. καὶ εἶπεν Δανιὴλ Ἐπίδετε τὰς σφραγῖδας ὑμῶν εἰ μένουσιν, ἄνδρες ἱερεῖς· καὶ σὺ δέ, βασιλεῦ, σκέψαι μὴ τί σοι ἀσύμφωνον γεγένηται. καὶ εὗρον ὡς ἣν ἡ σφραγίς, καὶ ἀπέβαλον τὴν σφραγῖδα.
Βὴλ_καὶ_Δράκων 1:18	καὶ ἀνοίξαντες τὰς θύρας εἴδοσαν δεδαπανημένα πάντα τὰ παρατεθέντα, καὶ τὰς τραπέζας κενάς· καὶ ἐχάρη ὁ βασιλεύς, καὶ εἶπεν πρὸς τὸν Δανιὴλ Μέγας ἐστὶν ὁ Βήλ, καὶ οὐκ ἔστι παρʼ αὐτῷ δόλος.
Βὴλ_καὶ_Δράκων 1:19	καὶ ἐγέλασε Δανιὴλ σφόδρα καὶ εἶπεν τῷ βασιλεῖ Δεῦρο ἴδε τὸν δόλον τῶν ἱερέων. καὶ εἶπεν Δανιὴλ Βασιλεῦ, ταῦτα τὰ ἴχνη τίνος ἐστί
Βὴλ_καὶ_Δράκων 1:20	καὶ εἶπεν ὁ βασιλεύς Ἀνδρῶν καὶ γυναικῶν καὶ παιδίων.
Βὴλ_καὶ_Δράκων 1:21	καὶ ἐπῆλθεν ἐπὶ τὸν οἶκον ἐν ᾧ ἦσαν οἱ ἱερεῖς καταγινόμενοι, καὶ εἶρε τὰ βρώματα τοῦ Βὴλ καὶ τὸν οἶνον· καὶ ἐπέδειξε Δανιὴλ τῷ βασιλεῖ τὰ ψευδοθύρια, δι᾿ ὧν εἰσπορευόμενοι οἱ ἱερεῖς ἐδαπάνων τὰ παρατιθέμενα τῷ Βήλ.
Βὴλ_καὶ_Δράκων 1:22	καὶ ἐξήγαγεν αὐτοὺς ὁ βασιλεὺς ἐκ τοῦ Βηλίου, καὶ παρέδωκεν αὐτοὺς τῷ Δανιὴλ· καὶ τὴν δαπάνην τὴν εἰς αὐτὸν ἔδωκε τῷ Δανιὴλ, τὸν δὲ Βὴλ κατέστρεψε.
